Case ID,Activity,Resource,Start Timestamp,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 100,Lapping - Machine 1,Machine 1 - Lapping,3/11/2012 12:46,18,Ballnut,ID4882,D,18,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/13/2012 10:34,18,Ballnut,ID4445,S,0,0,0,
Case 100,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/13/2012 10:41,18,Ballnut,ID4445,D,18,0,0,
Case 100,Grinding Rework - Machine 12,Machine 12 - Grinding,3/16/2012 11:30,18,Ballnut,ID4872,D,0,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,3/19/2012 11:21,18,Ballnut,ID4618,D,0,0,0,
Case 100,Packing,Packing,3/21/2012 0:00,18,Ballnut,ID4820,D,18,0,0,
Case 100,Final Inspection Q.C.,Quality Check 1,3/21/2012 7:02,18,Ballnut,ID4618,D,18,0,0,
Case 101,Setup - Machine 8,Machine 8 - Turning & Milling,3/13/2012 18:47,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/13/2012 20:38,27,Housing,ID4219,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/13/2012 23:04,27,Housing,ID4219,B,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/13/2012 23:50,27,Housing,ID4219,D,7,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/14/2012 1:06,27,Housing,ID4794,D,17,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/14/2012 7:02,27,Housing,ID0997,D,3,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/14/2012 7:49,27,Housing,ID0997,S,0,0,0,
Case 101,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/14/2012 11:11,27,Housing,ID0997,D,27,0,0,
Case 101,Turning & Milling Q.C.,Quality Check 1,3/14/2012 13:33,27,Housing,ID4618,D,27,0,0,
Case 101,Flat Grinding - Machine 11,Machine 11 - Grinding,3/15/2012 9:55,27,Housing,ID0998,D,27,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,3/23/2012 11:00,27,Housing,ID0998,D,21,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,3/24/2012 22:15,27,Housing,ID4528,S,0,0,0,
Case 101,Round Grinding - Machine 12,Machine 12 - Grinding,3/24/2012 23:45,27,Housing,ID4528,D,17,0,0,
Case 101,Final Inspection Q.C.,Quality Check 1,3/25/2012 6:50,27,Housing,ID4618,D,17,0,0,
Case 101,Lapping - Machine 1,Machine 1 - Lapping,3/25/2012 10:00,27,Housing,ID0998,D,6,0,0,
Case 101,Laser Marking - Machine 7,Machine 7- Laser Marking,3/25/2012 11:15,27,Housing,ID0998,D,17,0,0,
Case 101,Packing,Packing,3/26/2012 0:00,27,Housing,ID4820,D,17,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/27/2012 16:40,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/27/2012 21:46,24,Spur Gear,ID4219,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/28/2012 11:00,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/28/2012 14:20,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2/28/2012 14:35,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/28/2012 16:12,24,Spur Gear,ID0997,D,3,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/28/2012 21:28,24,Spur Gear,ID4219,D,9,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 1:30,24,Spur Gear,ID4794,D,7,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 7:32,24,Spur Gear,ID0997,D,5,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 11:05,24,Spur Gear,ID0997,S,1,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2/29/2012 15:00,24,Spur Gear,ID4287,D,24,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 16:00,24,Spur Gear,ID0997,S,0,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,2/29/2012 16:04,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 17:19,24,Spur Gear,ID0997,D,8,0,0,
Case 102,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,2/29/2012 22:27,24,Spur Gear,ID4219,D,15,0,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,3/1/2012 9:30,24,Spur Gear,ID4287,D,0,1,0,
Case 102,Turning & Milling Q.C.,Quality Check 1,3/6/2012 0:00,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Laser Marking - Machine 7,Machine 7- Laser Marking,3/8/2012 13:32,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,3/9/2012 0:00,24,Spur Gear,ID4882,D,0,0,0,
Case 102,Lapping - Machine 1,Machine 1 - Lapping,3/11/2012 9:38,24,Spur Gear,ID0998,D,23,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,3/11/2012 19:25,24,Spur Gear,ID4528,S,0,0,0,
Case 102,Round Grinding - Manual,Machine 27 - Grinding,3/11/2012 20:00,24,Spur Gear,ID4528,D,23,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/12/2012 7:03,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,3/12/2012 7:50,24,Spur Gear,ID4287,D,5,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/12/2012 8:02,24,Spur Gear,ID4445,S,0,0,0,
Case 102,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/12/2012 8:10,24,Spur Gear,ID4445,D,23,0,0,
Case 102,Round Grinding - Q.C.,Quality Check 1,3/12/2012 10:00,24,Spur Gear,ID4287,D,18,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,3/12/2012 14:00,24,Spur Gear,ID4287,D,0,0,0,
Case 102,Final Inspection Q.C.,Quality Check 1,3/13/2012 8:00,24,Spur Gear,ID4287,D,23,0,0,
Case 102,Packing,Packing,3/14/2012 0:00,24,Spur Gear,ID4820,D,23,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/6/2012 9:10,52,Adjusting Nut,ID4219,B,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/8/2012 4:19,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/8/2012 10:04,52,Adjusting Nut,ID4219,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/8/2012 20:24,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/9/2012 4:35,52,Adjusting Nut,ID0997,D,14,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,3/9/2012 7:32,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/9/2012 7:32,52,Adjusting Nut,ID4219,D,8,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,3/11/2012 7:42,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/11/2012 9:03,52,Adjusting Nut,ID0997,D,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/11/2012 10:37,52,Adjusting Nut,ID0997,S,0,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/11/2012 11:49,52,Adjusting Nut,ID0997,D,25,0,0,
Case 103,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/11/2012 16:35,52,Adjusting Nut,ID4219,D,5,0,0,
Case 103,Turning & Milling Q.C.,Quality Check 1,3/12/2012 8:27,52,Adjusting Nut,ID4618,D,50,2,0,
Case 103,Laser Marking - Machine 7,Machine 7- Laser Marking,3/13/2012 9:54,52,Adjusting Nut,ID4355,D,50,0,0,
Case 103,Flat Grinding - Machine 11,Machine 11 - Grinding,3/13/2012 13:27,52,Adjusting Nut,ID0998,D,50,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,3/13/2012 14:07,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,3/14/2012 6:58,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,3/14/2012 12:03,52,Adjusting Nut,ID4618,D,50,0,0,
Case 103,Packing,Packing,3/15/2012 0:00,52,Adjusting Nut,ID4820,D,50,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,3/19/2012 20:43,33,Cable Head,ID4529,S,1,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,3/20/2012 2:27,33,Cable Head,ID4529,D,19,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,3/20/2012 7:00,33,Cable Head,ID4429,D,13,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,3/20/2012 9:54,33,Cable Head,ID4493,D,0,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,3/21/2012 6:55,33,Cable Head,ID4493,D,33,0,0,
Case 104,Laser Marking - Machine 7,Machine 7- Laser Marking,3/21/2012 9:21,33,Cable Head,ID4718,D,33,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/20/2012 23:18,15,Bearing,ID4167,S,0,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/21/2012 7:18,15,Bearing,ID4932,D,15,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/15/2012 10:14,39,Ballnut,ID0997,S,0,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,3/15/2012 16:55,39,Ballnut,ID4219,D,39,0,0,
Case 106,Turning & Milling Q.C.,Quality Check 1,3/19/2012 7:00,39,Ballnut,ID4618,D,39,0,0,
Case 106,Laser Marking - Machine 7,Machine 7- Laser Marking,3/19/2012 9:38,39,Ballnut,ID0998,D,39,0,0,
Case 106,Flat Grinding - Machine 11,Machine 11 - Grinding,3/19/2012 14:42,39,Ballnut,ID4882,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,3/21/2012 15:27,39,Ballnut,ID4618,D,0,0,0,
Case 106,Packing,Packing,3/22/2012 0:00,39,Ballnut,ID4820,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,3/22/2012 11:50,39,Ballnut,ID4618,D,39,0,0,
Case 107,Turning & Milling - Machine 10,Machine 10 - Grinding,3/30/2012 6:36,20,Cable Head,ID4132,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2/27/2012 1:18,15,Bushing,ID4794,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2/27/2012 6:59,15,Bushing,ID4529,S,1,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,2/27/2012 7:00,15,Bushing,ID4287,D,0,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,2/27/2012 9:13,15,Bushing,ID4529,D,13,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,2/28/2012 13:20,15,Bushing,ID4287,D,14,1,0,
Case 108,Laser Marking - Machine 7,Machine 7- Laser Marking,2/28/2012 17:52,15,Bushing,ID0998,D,14,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,2/29/2012 0:00,15,Bushing,ID4528,D,0,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,2/29/2012 22:05,15,Bushing,ID0420,D,14,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,3/1/2012 2:35,15,Bushing,ID0420,D,0,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,3/1/2012 2:36,15,Bushing,ID0420,D,14,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/7/2012 8:30,15,Bushing,ID4385,S,0,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/7/2012 11:18,15,Bushing,ID4385,D,5,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/7/2012 14:12,15,Bushing,ID0420,D,4,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,3/7/2012 15:57,15,Bushing,ID4872,D,5,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,3/8/2012 11:00,15,Bushing,ID4287,D,0,0,0,
Case 108,Packing,Packing,3/9/2012 0:00,15,Bushing,ID4820,D,14,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,3/9/2012 9:00,15,Bushing,ID4287,D,14,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/4/2012 11:14,50,Electrical Contact,ID4932,S,0,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/4/2012 17:52,50,Electrical Contact,ID4167,S,2,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,3/5/2012 0:00,50,Electrical Contact,ID4618,D,49,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/5/2012 0:03,50,Electrical Contact,ID4529,S,1,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/5/2012 1:09,50,Electrical Contact,ID4529,D,31,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,3/5/2012 6:49,50,Electrical Contact,ID4932,D,16,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,3/5/2012 7:00,50,Electrical Contact,ID4618,D,0,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,3/5/2012 10:18,50,Electrical Contact,ID4618,D,0,1,0,
Case 109,Laser Marking - Machine 7,Machine 7- Laser Marking,3/15/2012 11:05,50,Electrical Contact,ID0998,D,49,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,3/21/2012 5:03,50,Electrical Contact,ID4355,S,1,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,3/21/2012 6:23,50,Electrical Contact,ID4355,D,3,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,3/21/2012 7:34,50,Electrical Contact,ID4385,D,45,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,3/23/2012 0:40,50,Electrical Contact,ID4445,S,0,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,3/23/2012 1:34,50,Electrical Contact,ID4445,D,49,0,0,
Case 109,Final Inspection Q.C.,Quality Check 1,3/23/2012 7:25,50,Electrical Contact,ID4618,D,45,4,0,
Case 109,Packing,Packing,3/25/2012 0:00,50,Electrical Contact,ID4491,D,45,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/15/2012 18:04,100,Spur Gear,ID4132,S,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/16/2012 6:59,100,Spur Gear,ID4641,D,1,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,1/16/2012 9:00,100,Spur Gear,ID4287,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/16/2012 9:50,100,Spur Gear,ID4641,D,17,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/16/2012 18:08,100,Spur Gear,ID4132,D,18,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/16/2012 23:39,100,Spur Gear,ID4932,D,19,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/17/2012 10:46,100,Spur Gear,ID4641,D,7,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,1/18/2012 7:00,100,Spur Gear,ID4287,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/18/2012 8:35,100,Spur Gear,ID4641,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/18/2012 8:36,100,Spur Gear,ID4641,S,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/18/2012 9:57,100,Spur Gear,ID4641,D,14,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,1/18/2012 10:14,100,Spur Gear,ID4618,D,60,0,0,
Case 11,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,1/19/2012 7:39,100,Spur Gear,ID4641,S,1,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/19/2012 9:01,100,Spur Gear,ID4641,D,14,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,1/19/2012 16:08,100,Spur Gear,ID4132,D,9,0,0,
Case 11,Laser Marking - Machine 7,Machine 7- Laser Marking,1/22/2012 15:01,100,Spur Gear,ID4882,D,20,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,1/23/2012 9:24,100,Spur Gear,ID4618,D,37,0,0,
Case 11,Laser Marking - Machine 7,Machine 7- Laser Marking,1/24/2012 14:41,100,Spur Gear,ID4882,D,77,0,0,
Case 11,Packing,Packing,1/25/2012 0:00,100,Spur Gear,ID4820,D,97,0,0,
Case 11,Final Inspection Q.C.,Quality Check 1,1/25/2012 11:11,100,Spur Gear,ID4618,D,97,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,1/25/2012 14:10,100,Spur Gear,ID4618,D,0,3,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/1/2012 3:49,500,Ballnut,ID4794,S,1,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/1/2012 6:57,500,Ballnut,ID4529,S,3,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/1/2012 10:00,500,Ballnut,ID4163,D,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/1/2012 12:37,500,Ballnut,ID4529,D,10,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/1/2012 20:16,500,Ballnut,ID4794,D,30,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/2/2012 6:45,500,Ballnut,ID4167,D,14,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/3/2012 13:00,500,Ballnut,ID4529,D,36,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/3/2012 23:36,500,Ballnut,ID4641,D,21,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/4/2012 7:20,500,Ballnut,ID4618,D,0,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/6/2012 7:22,500,Ballnut,ID4618,D,119,1,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/6/2012 7:28,500,Ballnut,ID4794,D,5,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/8/2012 1:08,500,Ballnut,ID4529,S,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/8/2012 7:11,500,Ballnut,ID4794,S,1,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/8/2012 11:37,500,Ballnut,ID4794,D,10,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/8/2012 15:54,500,Ballnut,ID4167,D,32,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/9/2012 1:48,500,Ballnut,ID4529,D,18,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/9/2012 6:50,500,Ballnut,ID4618,D,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/9/2012 7:59,500,Ballnut,ID4429,D,15,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/10/2012 13:00,500,Ballnut,ID4932,D,30,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/10/2012 23:26,500,Ballnut,ID4794,D,20,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/11/2012 6:55,500,Ballnut,ID4529,D,17,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/11/2012 6:58,500,Ballnut,ID4618,D,0,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/11/2012 8:02,500,Ballnut,ID4618,D,82,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,3/11/2012 16:11,500,Ballnut,ID4429,D,13,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/12/2012 8:00,500,Ballnut,ID4618,D,0,3,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/12/2012 8:13,500,Ballnut,ID4618,D,36,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,3/12/2012 9:28,500,Ballnut,ID4618,D,0,3,0,
